word,log_odds_ratio
approve,-0.19292
approved,-0.13069
approving,0.41284
approximately,-0.18034
apps,-0.01436
april,0.00163
aquatic,0.41227
arab,-0.10114
arabia,-0.10114
arbor,0.2677
arc,0.11088
arch,0.71422
arching,0.41227
archives,-0.14701
area,0.04746
areas,0.04878
arena,0.11088
argentina,-0.10114
arguably,0.41227
argue,-0.38949
argued,-0.34496
argues,-0.54484
arguing,-0.36767
argument,-0.52197
aricept,0.11088
arising,0.41227
ariz,-0.43497
arizona,-0.06587
arlington,0.11088
arm,-0.15861
armamentarium,-0.36767
armenia,-0.10114
armpit,-0.28813
arms,-0.09855
army,-0.15374
arnd,0.41284
arnold,-0.19086
aromatase,-0.01436
around,0.06338
arranged,-0.06557
arrangements,-0.06557
array,-0.06602
arrest,0.19084
arrhythmia,-0.28813
arrive,-0.67085
arrived,-0.04114
arrives,0.11088
arsenal,0.11088
art,0.41569
arterial,-0.19086
arteries,0.08246
artery,0.07649
arthritic,0.71572
arthritis,0.15342
arthroplasty,0.71422
arthroscopic,0.23639
arthroscopy,0.41227
arthur,0.2677
artichokes,0.71422
article,-0.22265
articles,0.19084
artificial,0.60038
artificially,0.4134
artist,0.41227
arts,0.28811
aruba,-0.13369
asclera,0.41227
asco,0.1113
asd,0.41284
asds,0.41227
ashton,0.11088
asia,-0.06587
asian,0.11151
ask,-0.35907
asked,-0.14434
asking,-0.59636
asks,-0.3689
asleep,-0.03585
asparagus,0.41227
aspect,-0.22701
aspects,-0.09456
asperger,-0.43497
aspirin,-0.27477
aspiring,0.41227
assaf,0.41227
assault,0.11088
assaults,0.41227
assemble,0.41227
assembled,0.11088
assert,-0.06557
asserts,0.11088
assess,0.04595
assessed,-0.24569
assesses,-0.19086
assessing,-0.43657
assessment,0.113
assessments,0.27689
asset,0.41227
assign,-0.59095
assigned,-0.49085
assignment,0.41227
assist,0.01382
assistance,-0.01436
assistant,-0.12577
assisted,0.00155
associate,-0.0929
associated,-0.10248
association,-0.19328
associations,-0.19189
assume,0.06
assumed,-0.13302
assumes,0.11088
assuming,-0.01436
assumption,-0.43497
assure,0.71422
ast,0.41227
asthma,0.06835
asthmatic,0.41227
astrazeneca,-0.49528
asymptomatic,-0.06572
ate,-0.03155
atenolol,0.41227
athens,-0.06557
atherosclerosis,0.1113
athlete,0.335
athletes,0.11257
athletics,0.41227
atkins,-0.28813
atlanta,-0.27355
atlantic,0.11109
atorvastatin,0.11088
atrial,0.11172
atrium,0.11088
atrophy,0.23717
attach,-0.24288
attached,-0.02229
attachment,0.11088
attack,-0.18227
attacking,-0.43497
attacks,-0.08014
attempt,0.07681
attempted,-0.06572
attempting,0.01382
attempts,-0.19292
attend,-0.13302
attended,-0.15374
attending,-0.34496
attention,-0.27799
attentional,0.41227
attitude,-0.06572
attract,0.71422
attracted,-0.06572
attraction,-0.19086
attributable,-0.28813
attribute,-0.28813
attributed,-0.22701
atypical,-0.59095
aug,-0.27745
augment,0.11088
augmentation,0.11088
augmentin,0.41227
august,-0.20729
aura,-0.06557
aureus,0.41284
aurora,-0.19086
austin,-0.13302
australasian,0.41227
australia,-0.16929
australian,0.05343
austria,-0.1924
author,-0.14437
authored,-0.84911
authorities,-0.43497
authority,-0.28813
authorized,0.11088
authors,-0.20478
autism,0.11365
autistic,-0.46689
autistica,0.41227
autoimmune,-0.03922
autologous,0.41284
automated,0.41284
automatic,0.11088
automatically,0.11151
autopsy,0.23639
ava,0.41227
avail,0.23639
availability,-0.06572
available,-0.18756
avastin,-0.43497
aventis,-0.28813
avenue,0.3167
average,-0.18937
averaged,0.19183
averages,-0.28813
averaging,0.11088
averse,0.71422
avert,0.11088
avid,-0.43497
aviv,-0.19086
avocado,-0.06557
avocados,-0.06557
avodart,-0.06557
avoid,-0.00257
avoidance,0.71422
avoided,-0.52197
avoiding,-0.25342
avrum,0.11088
awaiting,-0.26812
awake,-0.19189
awakened,0.11088
awakenings,-0.06557
award,0.53927
aware,-0.09571
awareness,-0.11364
away,-0.01844
awesome,0.41284
awful,-0.19086
awhile,0.71422
awkward,0.41227
awry,-0.43497
axillary,0.41227
azerbaijan,-0.13369
babies,0.03874
baby,-0.0761
back,-0.13086
backed,-0.61519
background,0.32831
backgrounds,0.11088
backing,-0.06572
backs,-0.19137
backward,0.19084
backyard,0.41227
bacteria,0.08246
bacterial,0.17981
bacterium,-0.24288
bad,-0.08951
badly,-0.36767
bag,-0.54484
bags,-0.36767
baguette,0.41227
bahamas,-0.10114
bahrain,-0.10114
baked,-0.43497
baker,-0.54484
balance,-0.10857
balanced,-0.289
balancing,-0.49333
bald,-0.19086
baldness,-0.28813
ball,-0.16401
balloon,0.3167
balloons,-0.19086
balm,0.71422
baltimore,-0.15493
bananas,-0.19086
band,-0.21909
bands,-0.19086
bang,0.41227
bangladesh,-0.10114
bank,0.04399
banks,0.41227
banned,0.11109
bans,0.71422
bapineuzumab,0.41227
baptist,0.23717
bar,-0.63271
barbados,-0.10114
barbara,-0.06587
barbuda,-0.13369
barcelona,-0.59095
barely,-0.10114
bariatric,-0.76885
bark,0.11088
barley,-0.28813
barnes,0.71422
barouch,0.41227
barred,0.11088
barrier,-0.01445
barriers,-0.06557
basal,-0.28813
base,-0.21909
baseball,0.41284
based,-0.24184
basel,0.11109
baseline,-0.06617
basic,-0.29344
basically,-0.05186
basics,0.41227
basis,-0.05761
basket,0.41227
basketball,-0.19137
bass,-0.06557
bates,0.41227
bathe,0.41227
bathing,0.23639
bathroom,0.06
baths,0.11088
baton,0.23639
batteries,0.11088
battery,0.20362
battle,0.08873
battlefield,-0.06557
battling,0.11088
bauer,0.41227
bavencio,0.41227
bay,-0.04779
bayer,-0.19189
baylor,-0.16401
bbc,0.71422
beach,0.36476
beacon,0.41227
beall,0.11088
beam,0.4134
beams,-0.19086
bean,-0.36767
beano,0.41227
beans,0.07681
bear,0.14469
bearing,-0.49333
bears,0.11088
beast,0.41227
beat,0.17107
beating,-0.67085
beats,0.19084
beaumont,0.41227
beautiful,0.335
beauty,0.23717
became,-0.06233
beck,-0.24288
becker,0.41227
beckman,0.11088
become,-0.04804
becomes,0.02443
becoming,-0.25938
bed,-0.16947
bedford,-0.06557
bedridden,0.71422
bedroom,-0.06557
beds,0.11088
bedtime,-0.3689
beef,0.11109
beer,0.01382
beers,0.11088
beet,0.11088
beforehand,0.23639
began,-0.43633
begging,0.41227
begin,-0.12757
beginning,-0.08187
beginnings,0.41227
begins,-0.13436
begs,0.11088
begun,-0.14365
behave,0.23639
behaves,0.41227
behavior,-0.10855
behavioral,-0.31301
behaviors,-0.06679
behaviour,-0.06557
behind,-0.15587
beige,0.41227
beijing,0.01382
beings,0.41284
belarus,-0.10114
belgian,-0.06557
belgium,-0.15493
belief,-0.31231
believe,-0.00923
believed,-0.03093
believer,0.41284
believes,-0.26231
believing,0.01382
belize,-0.10114
bell,0.11109
bells,0.11088
belly,-0.63271
belmont,0.11088
belong,-0.06557
belonged,0.41227
belongs,-0.13302
belt,0.11109
ben,0.41284
bending,0.41284
beneath,0.01382
beneficial,-0.25071
benefit,-0.22825
benefited,-0.21909
benefiting,-0.54484
benefits,-0.32407
benefitting,0.41227
benign,0.113
benin,-0.10114
benjamin,0.41284
bennet,0.41227
benzodiazepine,0.41227
benzodiazepines,-0.06557
berenson,0.41227
berg,0.41227
berlin,0.28811
bermuda,-0.1924
bernik,-0.19086
bernstein,-0.36767
berries,0.49466
berry,0.04399
bert,0.41284
besides,-0.37139
besser,0.41227
best,-0.16788
bet,0.2677
beta,-0.09148
beth,-0.1924
bethesda,-0.06572
better,-0.14558
beverage,0.1113
beverages,-0.82393
beverly,-0.06557
beyond,-0.41877
bhattacharyya,0.41227
bhf,0.71422
bhutan,-0.10114
bianchi,-0.06572
bias,-0.52197
biased,-0.43497
bid,-0.49333
big,-0.13456
bigger,-0.10944
biggest,-0.24684
bike,0.04399
bilateral,-0.19086
bild,0.41227
bill,-0.56566
billboards,0.41227
billed,0.11088
billion,-0.21326
biloba,0.11088
bind,-0.59095
binding,0.89124
binds,-0.54484
bio,0.71572
bioactive,0.58985
biochemical,-0.06557
biochemist,-0.06557
biochemistry,0.04399
biofeedback,-0.06557
biogen,-0.28813
bioidentical,0.71422
biological,-0.0679
biologist,-0.28813
biology,-0.17254
biomarker,-0.16401
biomarkers,0.22057
biomechanics,0.71422
biomedical,0.35631
bionic,1.0171
biopharmaceutical,0.41227
biopharmaceuticals,0.11088
biopsies,0.04047
biopsy,0.10036
biosynthetic,0.11088
biotech,-0.35255
biotechnology,-0.25955
bipolar,-0.06602
bird,-0.06557
birds,-0.06557
birmingham,-0.67085
birth,-0.16678
birthday,-0.06572
births,-0.11198
bisphosphonate,-0.49333
bisphosphonates,-0.33075
bissau,-0.10114
bit,-0.5086
bite,0.04399
bits,0.28811
bitter,-0.06572
black,-0.30715
bladder,0.0043
blair,0.11088
blake,0.71422
blame,-0.36767
blamed,0.23639
bland,0.41227
blank,0.23639
blanket,-0.54484
blanks,0.41227
blast,-0.06557
blasting,0.11088
bleach,0.41284
bleak,0.41227
bleed,-0.36767
bleeding,-0.27451
blend,0.11109
blessed,0.11088
blinch,0.41227
blind,-0.03264
blinded,-0.36767
blindfolded,0.41227
blindness,-0.19292
bloating,0.15008
block,0.0256
blockage,-0.06602
blockages,-0.11198
blockbuster,0.51181
blocked,0.02674
blocker,-0.06572
blockers,-0.3689
blocking,-0.06855
blocks,-0.01455
blog,-0.16401
blood,-0.03577
bloodstream,0.05805
bloomberg,0.16986
blow,-0.43497
blowing,0.41284
blown,0.06997
blue,-0.21447
blueberries,0.16986
blueberry,0.71422
blunt,0.4134
blur,0.71422
blurred,-0.19086
blush,-0.06557
bmc,-0.06572
bmi,-0.15374
bmj,-0.49528
bo,0.11088
board,-0.07878
bob,0.23639
boceprevir,-0.06557
bodies,-0.19502
bodily,0.6598
body,-0.1221
boehringer,-0.43497
boise,0.11088
bolivia,-0.10114
bologna,0.11088
bolster,-0.28813
bolstered,0.58985
bomb,-0.19086
bon,0.41227
bond,-0.06557
bonding,0.4134
bone,-0.14377
bones,-0.20822
boniva,-0.06572
bono,0.89124
bonus,-0.28813
book,-0.39399
booklet,0.41227
books,-0.40402
boomers,-0.19086
boon,0.4134
boost,-0.06839
boosted,0.23874
booster,0.01388
boostershots,0.11109
boosting,0.16445
boosts,-0.01436
boot,0.11088
border,0.11088
borderline,0.4134
born,-0.13642
borne,-0.36767
bosl,0.41227
bosnia,-0.10114
boston,-0.26307
bothersome,-0.28813
botox,0.16986
botswana,-0.13369
bottle,-0.93771
bottles,-0.28813
bottom,-0.5991
bottomless,0.41227
bought,-0.49528
boulder,0.41284
bound,0.01382
bouquet,0.41227
bouts,-0.06587
bowel,0.12981
bowels,-0.19086
bowl,0.23639
box,-0.38664
boxes,-0.36767
boy,-0.1924
boyfriend,-0.06557
boys,-0.22893
bph,0.41227
brace,0.4134
braces,0.71422
bracing,0.11088
brad,-0.28813
bradford,-0.19086
braf,-0.06572
brain,-0.05595
brains,-0.09865
brake,0.53927
brakes,-0.19086
bran,0.11088
branch,0.01388
branches,-0.06557
brand,-0.20622
brands,-0.19189
brawley,-0.59095
brazil,-0.01445
brazilian,0.23639
brca,0.06997
breached,0.11088
bread,-0.28988
breads,-0.49333
break,-0.32128
breakdown,-0.59095
breakfast,0.06997
breakfasts,0.71422
breaking,0.03182
breaks,0.11214
breakthrough,-0.01069
breakthroughs,0.41284
breast,-0.06133
breastfeeding,0.11088
breasts,0.11151
breath,0.17748
breathalyzer,0.41227
breathe,0.14075
breathed,0.11088
breathing,-0.07817
breathless,0.11088
breaths,0.41284
bred,-0.19086
brendan,0.41227
bressler,0.11088
brew,-0.28813
brewing,0.41227
brian,-0.04114
bridge,0.3167
bridges,0.41227
brief,-0.37392
briefing,0.41569
brien,0.41227
brigham,-0.12779
bright,-0.1924
bring,-0.15141
bringing,-0.31827
brings,-0.34496
brink,-0.06557
brisk,-0.13302
briskly,0.11088
bristol,0.13542
britain,0.27205
british,-0.05395
brittle,-0.06557
broad,0.05639
broadcasting,0.41227
broaden,0.58985
broadened,0.41227
broadening,0.41227
broader,-0.17459
broadly,-0.24288
broccoli,0.23717
brody,-0.06557
broiled,0.89124
broke,-0.19137
broken,0.13542
bronchitis,0.01382
bronchoscopy,0.41284
bronx,-0.19086
bronze,0.89124
brook,-0.36767
brooke,0.11088
brooklyn,-0.289
brother,-0.70598
brothers,-0.19086
brought,-0.06663
brown,-0.19292
browser,0.02921
bruce,-0.49528
bruised,0.11088
brunei,-0.10114
bruno,0.41227
brunswick,0.11088
brush,-0.24288
brushing,0.41284
brussels,0.11109
bryan,-0.54484
bubble,0.23639
bubbles,-0.06557
buck,0.11088
buckley,0.41227
budget,-0.19086
budgets,0.11088
buffalo,-0.49333
buffet,0.41227
bug,0.23639
bugs,-0.36767
build,-0.05674
building,-0.11888
builds,-0.31827
buildup,-0.89559
built,-0.01445
bulgaria,-0.13369
bulging,-0.19086
bulk,-0.28813
bulky,-0.06557
bull,0.41284
bullet,-0.79724
bulletin,0.41227
bump,0.11109
bumps,-0.19086
bundle,0.71422
burden,0.20362
burdened,0.41227
bureau,-0.19086
burgers,0.41227
burke,0.41227
burkina,-0.10114
burn,-0.1924
burned,-0.36767
burning,-0.10671
burns,-0.28813
bursts,-0.06572
burton,-0.19086
burundi,-0.10114
bus,-0.19086
business,0.07448
businesses,0.23639
busting,-0.49333
busy,-0.13302
butter,-0.19137
buttocks,0.11109
button,-0.21909
buy,-0.34196
buying,-0.289
buys,-0.06557
buzzfeed,-0.54484
bypass,-0.18034
bypasses,0.41227
byproducts,-0.28813
bystander,0.11088
ca,0.11109
cabazitaxel,0.41227
cabbage,0.41284
cader,0.41227
caffeinated,-0.19086
caffeine,-0.14644
cage,-0.06557
cages,0.23639
caicos,-0.10114
cake,-0.28813
calcified,0.41227
calcitonin,0.11088
calcium,0.16777
calculated,0.02674
calculations,0.11088
calculators,-0.19086
caleb,0.11088
caledonia,-0.10114
calendar,0.41227
calif,-0.43541
califf,0.11088
california,-0.37242
call,-0.26587
called,-0.07875
calling,-0.23504
calls,-0.14626
calm,0.11151
calmer,0.41227
calming,0.81356
calorie,-0.41662
calories,-0.0417
cambodia,-0.10114
cambridge,0.16445
came,-0.24922
camera,-0.11281
cameras,0.41227
cameron,-0.06557
cameroon,-0.10114
campaign,0.15784
campaigns,-0.01436
campbell,0.11088
campos,0.41227
campus,-0.06587
canada,-0.19717
canadian,-0.53275
canadians,0.11088
canal,0.4134
cancel,0.41227
cancer,-0.04268
cancerous,0.16747
cancers,-0.0806
candidate,-0.00755
candidates,-0.20729
candy,0.41227
cane,-0.28813
cannabidiol,0.11109
cannabis,-0.06587
cannon,-0.06557
cannot,-0.18815
canola,0.23639
canyon,0.41227
cao,-0.06557
cap,-0.06557
capabilities,-0.06557
capability,-0.43497
capable,-0.21909
capacity,0.22316
cape,-0.10114
capital,-0.76885
capitalist,0.41227
capitalists,0.11088
capsaicin,0.41284
capsules,-0.72652
caption,-0.22918
capture,0.53927
captured,0.23639
capturing,0.71422
car,-0.36132
carb,0.01382
carbohydrate,-0.19189
carbohydrates,0.06048
carbon,0.1113
carboplatin,0.41227
carbs,-0.19086
carcinogen,0.41227
carcinoma,-0.24288
card,0.11088
cardiac,0.09426
cardiff,0.11088
cardio,0.89124
cardiologist,-0.10857
cardiologists,-0.13369
cardiology,-0.21371
cardiopulmonary,0.11088
cardiovascular,-0.285
cards,0.41284
care,-0.21565
career,-0.02787
careful,-0.63162
carefully,-0.39614
caregiver,0.41284
caregivers,-0.28813
carey,0.11088
caring,-0.11198
carlos,0.11088
carol,0.28811
carolina,0.08296
carolyn,0.89124
carotene,-0.13302
carotenoids,0.41284
carotid,0.71572
carried,0.15512
carriers,-0.49333
carries,-0.13504
carrots,0.23639
carry,-0.52132
carrying,0.06048
cars,-0.19086
carter,-0.06557
cartilage,0.06
carver,0.11088
caryn,0.41284
cascade,-0.36767
case,-0.10499
cases,-0.08192
casey,0.41227
cashews,-0.19086
cassidy,-0.06557
castration,-0.06557
cat,0.4134
cataract,-0.06557
cataracts,0.16986
catastrophic,0.41284
catch,-0.37392
catching,-0.46689
catechins,0.41227
categories,0.89124
categorized,0.89124
category,-0.27355
catherine,-0.49333
catheter,0.21114
catheterization,0.11109
catheters,-0.49333
cathy,-0.19086
cats,0.41284
caucasian,0.41227
caucasians,0.11088
caught,-0.11281
causal,0.11109
causation,-0.43497
cause,-0.0501
caused,-0.06691
causes,-0.10347
causing,0.00519
caution,-0.40862
cautionary,-0.06557
cautioned,-0.29327
cautions,0.01394
cautious,-0.26185
cautiously,0.04399
caveat,-0.34496
caveats,0.01394
cavities,0.4134
cavity,0.1113
cayman,-0.10114
cbd,-0.19086
cbe,0.71422
cbs,0.48743
cbt,0.41284
cd,-0.36767
cdc,-0.30904
cdeb,0.71422
cease,0.71422
ceased,0.41227
ceases,0.41227
cedars,0.15008
celebrated,-0.06557
celebrating,-0.06557
celebration,0.71422
celebrities,0.58985
celiac,0.59192
cell,0.02161
cellphone,-0.06557
cellphones,0.41227
cells,0.04638
cellular,-0.87296
center,-0.1864
centered,0.11109
centers,-0.3612
centimeter,-0.06557
centimeters,0.11109
central,-0.10857
centre,0.29083
centres,0.71422
centrifuge,-0.06557
cents,-0.06572
centuries,0.59192
century,-0.21909
